"id","product","tags","ingredients"
"4891","Organic Ginger Crunch & Plum Granola","[""Peanut Free"",""Dairy Free"",""Soy Free"",""Egg Free"",""Sesame Free""]","[""pumpkin"",""seeds  buckwheat"",""sunflower"",""flaxseed"",""hemp chiaapple syrupalmondscoconutcoconut oildried plumquinoa puffs ground gingerground cinnamonnz sea salt""]"
"4893","Organic Whole Peanut Butter - Smooth","[""Wheat Free"",""Gluten Free Coeliac/Celiac"",""Sesame Free"",""Soy Free"",""Dairy Free"",""Egg Free""]","[""peanut"",""nz sea salt certified organic""]"
"4894","Organic Quick Rolled Oats","[""Tree-nut Free"",""Wheat Free"",""Egg Free"",""Soy Free"",""Dairy Free"",""Peanut Free"",""Sesame Free""]","[""rolled oats""]"
"4895","Organic Whole Peanut Butter - Crunchy","[""Dairy Free"",""Sesame Free"",""Egg Free"",""Wheat Free"",""Soy Free"",""Gluten Free Coeliac/Celiac""]","[""peanuts 99 chinanatural sea salt 0 new zealand""]"
"4896","Clover Comb Honey","[""Sesame Free"",""Wheat Free"",""Peanut Free"",""Egg Free"",""Soy Free"",""Tree-nut Free"",""Gluten Free Coeliac/Celiac"",""Dairy Free""]","[""natural comb honey""]"
"4897","Raspberry & Coconut Granola","[""Egg Free"",""Soy Free"",""Peanut Free"",""Dairy Free""]","[""raw organic activated cashew nutsraw organic sprouted buckwheatraw organic datesraw organic coconut chips raw organic activated flax seedsraw organic sesame seedsorganic raspberry raspberry powder""]"
"4898","Peanut Butter Crunchy","[]","[]"
"4899","New Zealand Rewarewa Honey","[""Sesame Free"",""Peanut Free"",""Soy Free"",""Wheat Free"",""Gluten Free Coeliac/Celiac"",""Egg Free"",""Tree-nut Free"",""Dairy Free""]","[""pure new zealand honey""]"
"4900","Organic Ginger Zest Granola","[""Peanut Free"",""Soy Free"",""Dairy Free"",""Egg Free""]","[""organic rolled oats raisinscashews nutssunflower seedsorganic deodorised coconut oilorganic rice syrupcoconutbarley maltorganic sesame seedfreeze dried plumorganic ginger organic cinnamon organic clove powdersea salt""]"
"4901","New Zealand Wildflower Honey","[""Peanut Free"",""Soy Free"",""Gluten Free Coeliac/Celiac"",""Sesame Free"",""Dairy Free"",""Egg Free"",""Wheat Free"",""Tree-nut Free""]","[""pure new zealand honey""]"
"4902","Primal Breakfast Mix","[""Dairy Free"",""Soy Free"",""Egg Free"",""Peanut Free"",""Gluten Free Coeliac/Celiac"",""Sesame Free"",""Wheat Free""]","[""almondssunflower seedspumpkin seedsmacadamiaswalnutssultanas contains vegetable oilorganicnbspsulphite freenbspapricotsorganic coconutlinseedsfreeze dried organic blackcurrantsolive oil""]"
"4903","Organic Caramel Apple Pie Super Granola","[""Egg Free"",""Wheat Free"",""Sesame Free"",""Gluten Free Coeliac/Celiac"",""Dairy Free"",""Soy Free"",""Peanut Free""]","[""seeds sunflower"",""flaxseed"",""chiaalmonds coconut chipsapple syrupdatesdried applecoconut oilmaca powder ground cinnamoncoconut flourcertified organic"",""pumpkin"",""hemp""]"
"4904","Peanut Butter Smooth","[""Dairy Free"",""Soy Free"",""Gluten Free Coeliac/Celiac"",""Sesame Free"",""Wheat Free"",""Egg Free""]","[""peanutssalt""]"
"4908","Honeycomb","[""Peanut Free"",""Tree-nut Free"",""Sesame Free"",""Wheat Free"",""Soy Free"",""Egg Free"",""Gluten Free Coeliac/Celiac"",""Dairy Free""]","[""honey""]"
"4909","Kids Honey","[""Sesame Free"",""Wheat Free"",""Peanut Free"",""Gluten Free Coeliac/Celiac"",""Tree-nut Free"",""Soy Free"",""Egg Free"",""Dairy Free""]","[""pure new zealand honey""]"
"4911","Dark Chocolate + Goji Berry Granola","[""Egg Free"",""Sesame Free"",""Gluten Free Coeliac/Celiac"",""Dairy Free"",""Soy Free"",""Wheat Free"",""Peanut Free""]","[""coconutnelson honeycacaococonut oilhazelnutsgoji berriessunflower seedsground linseedchia seedsmarlborough sea saltorganic and local where possible""]"
"4917","Mighty Fig Granola","[""Soy Free"",""Dairy Free"",""Sesame Free"",""Egg Free"",""Peanut Free""]","[""buckwheatsunflower seedscoconutcoconut nectarfigscoconut oilhazelnutschia seedsgingermarlborough sea saltorganic and nz grown where possible""]"
"4918","Bircher Muesli","[""Peanut Free"",""Dairy Free"",""Soy Free"",""Gluten Free Coeliac/Celiac"",""Wheat Free"",""Sesame Free"",""Egg Free""]","[""coconuthazelnutsbrazil nutssunflower seedspumpkin seedschia seedsground linseedcurrantsdried blackcurrantscinnamonorganic and local where possible""]"
"4919","Original Granola","[""Gluten Free Coeliac/Celiac"",""Sesame Free"",""Peanut Free"",""Egg Free"",""Soy Free"",""Wheat Free"",""Dairy Free""]","[""coconutnelson honeycoconut oilhazelnutscurrantssunflower seedspumpkin seedsground linseedchia seedscinnamonmarlborough sea saltorganic and local where possible""]"
"4927","Coffee Deluxe Granola","[""Soy Free"",""Peanut Free"",""Egg Free"",""Sesame Free"",""Dairy Free""]","[""sunflower seeds and flourcoconutbuckwheatnelson honeyhazelnutscoconut oilground coffee beanschia seedsmarlborough sea saltorganic and nz grown where possible""]"
"4928","Peanut Butter Smooth No Salt","[""Sesame Free"",""Egg Free"",""Soy Free"",""Dairy Free"",""Gluten Free Coeliac/Celiac"",""Wheat Free""]","[""hi oleic peanuts""]"
"4929","Coconut Chocolate Spread Organic","[""Egg Free"",""Wheat Free"",""Soy Free"",""Peanut Free"",""Gluten Free Coeliac/Celiac"",""Dairy Free"",""Sesame Free""]","[""certified organic cacao beanscoconut nectarcoconut milk""]"
"4930","Probiotic Spiced Apple & Maca Easy Oats","[""Soy Free"",""Dairy Free"",""Egg Free"",""Sesame Free"",""Peanut Free""]","[""oats dried apple coconut sugarhemp seedsoat branmaca powdernz sea saltground cinnamonprobiotic bacillus coagulans gbi30 6086 ganedenbc30certified organic""]"
"4931","Probiotic Plum & Hemp Seeds Easy Oats","[""Dairy Free"",""Sesame Free"",""Peanut Free"",""Egg Free"",""Soy Free""]","[""oats coconut sugarhemp seedsoat brandried plumnz sea saltprobiotic bacillus coagulans gbi30 6086 ganedenbc30certified organic""]"
"4932","Probiotic Maple & Maca Easy Oats","[""Dairy Free"",""Peanut Free"",""Sesame Free"",""Tree-nut Free"",""Soy Free"",""Egg Free""]","[""oats maple sugar oat branhemp seedsmaca powder nz sea saltground cinnamonprobiotic bacillus coagulans gbi30 6086 ganedenbccertified organic""]"
"5224","Go Manuka Honey UMF16+ (MGO 570+)","[""Wheat Free"",""Soy Free"",""Egg Free"",""Sesame Free"",""Tree-nut Free"",""Peanut Free"",""Gluten Free Coeliac/Celiac"",""Dairy Free""]","[""new zealand manuka honey umf 16""]"
"5237","Egmont Honey Manuka Honey UMF 10+","[""Sesame Free"",""Peanut Free"",""Tree-nut Free"",""Wheat Free"",""Dairy Free"",""Egg Free"",""Soy Free"",""Gluten Free Coeliac/Celiac""]","[""average quantity per servingnbsp""]"
"6408","Chocolate Spread","[""Dairy Free"",""Wheat Free"",""Peanut Free"",""Gluten Free Coeliac/Celiac"",""Egg Free"",""Sesame Free"",""Tree-nut Free""]","[""vegetable gums locust bean"",""chicory fibre"",""stevia leaf extract"",""cocoa powder"",""vegetable oils sunflower"",""raw cane sugar"",""soy flour"",""e476"",""palm kernel"",""emulsifiers sunflower lecithin"",""xanthan"",""natural vanilla flavour  heat treated""]"
"6660","Cashew Coconut & Hemp Spread - Smooth","[""Soy Free"",""Gluten Free Coeliac/Celiac"",""Sesame Free"",""Wheat Free"",""Dairy Free"",""Peanut Free"",""Egg Free""]","[""coconut oil"",""hemp seed"",""cashew""]"
"6661","Cashew Coconut & Hemp Spread - Crunchy","[""Soy Free"",""Gluten Free Coeliac/Celiac"",""Dairy Free"",""Peanut Free"",""Sesame Free"",""Egg Free"",""Wheat Free""]","[""coconut flake"",""coconut oil"",""cashew"",""hemp seed""]"
"6662","Almond Chia & Hemp Spread","[""Soy Free"",""Wheat Free"",""Peanut Free"",""Sesame Free"",""Dairy Free"",""Egg Free"",""Gluten Free Coeliac/Celiac""]","[""hemp seed"",""chia seed"",""almond""]"
"6663","Organic Superspread - The Original","[""Peanut Free"",""Wheat Free"",""Egg Free"",""Dairy Free"",""Soy Free"",""Gluten Free Coeliac/Celiac""]","[""mineral rich sea salt"",""himalayan rock salt and certified organic apple cider vinegar with the mother"",""certified organic black sesame seeds"",""certified organic coconut amino sauce fermented barrel aged coconut nectar"",""garlic"",""birds eye chilli""]"
"6664","Organic Superspread - Low Aussie Salt","[""Soy Free"",""Egg Free"",""Wheat Free"",""Peanut Free"",""Dairy Free"",""Gluten Free Coeliac/Celiac""]","[""birds eye chilli"",""certified organic black sesame seeds"",""garlic"",""mineral rich sea salt"",""pure australia sea salt and certified organic apple cider vinegar with the mother"",""certified organic coconut amino sauce fermented barrel aged coconut nectar""]"
"6665","Organic Superspread - FODMAP Friendly","[""Egg Free"",""Wheat Free"",""Dairy Free"",""Soy Free"",""Peanut Free"",""Gluten Free Coeliac/Celiac""]","[""sun dried mineral rich sea salt"",""certified organic coconut amino sauce fermented barrel aged coconut nectar"",""certified organic black sesame seeds"",""himalayan rock salt and certified organic apple cider vinegar with the mother"",""coconut water""]"
"6667","Organic Crack'd Whole Peanut Butter","[""Soy Free"",""Gluten Free Coeliac/Celiac"",""Egg Free"",""Sesame Free"",""Dairy Free"",""Wheat Free""]","[""roasted organic peanuts""]"
"6668","Organic Crack'd Smooth Peanut Butter","[""Dairy Free"",""Soy Free"",""Wheat Free"",""Sesame Free"",""Egg Free"",""Gluten Free Coeliac/Celiac""]","[""roasted organic peanuts""]"
"6669","Organic Crack'd Hazelnut Butter","[""Soy Free"",""Egg Free"",""Wheat Free"",""Sesame Free"",""Peanut Free"",""Gluten Free Coeliac/Celiac"",""Dairy Free""]","[""roasted organic hazelnuts""]"
"6670","Organic Crack'd Crunchy Peanut Butter","[""Soy Free"",""Dairy Free"",""Egg Free"",""Gluten Free Coeliac/Celiac"",""Sesame Free"",""Wheat Free""]","[""roasted organic peanuts""]"
"6671","Organic Crack'd Cashew Butter","[""Egg Free"",""Peanut Free"",""Gluten Free Coeliac/Celiac"",""Dairy Free"",""Sesame Free"",""Wheat Free"",""Soy Free""]","[""roasted organic cashew nuts""]"
"6672","Organic Crack'd Almond Butter","[""Dairy Free"",""Gluten Free Coeliac/Celiac"",""Wheat Free"",""Egg Free"",""Soy Free"",""Sesame Free"",""Peanut Free""]","[""roasted organic almonds""]"
"6835","Natural Seasoning Blend - Curry (12x30g)","[""Gluten Free Coeliac/Celiac"",""Peanut Free"",""Wheat Free"",""Dairy Free"",""Sesame Free"",""Egg Free"",""Tree-nut Free"",""Soy Free""]","[""pink himalayan salt"",""ginger"",""turmeric"",""onion"",""garlic"",""fenugreek"",""chilli"",""cinnamon"",""paprika"",""coriander"",""cumin""]"
"6839","Natural Seasoning Blend - Stroganoff (12x30g)","[""Dairy Free"",""Peanut Free"",""Wheat Free"",""Tree-nut Free"",""Soy Free"",""Sesame Free"",""Egg Free"",""Gluten Free Coeliac/Celiac""]","[""parsley"",""pepper"",""onion"",""garlic"",""paprika"",""pink himalayan salt""]"
"6943","Rich Chocolate Coconut Keto Slice (10x60g)","[""Dairy Free"",""Soy Free"",""Wheat Free"",""Egg Free"",""Sesame Free"",""Peanut Free"",""Gluten Free Coeliac/Celiac""]","[""erythritol gmo free"",""psyllium husk"",""almond meal"",""cocoa powder"",""desiccated coconut""]"
"7058","Plenty Peanut Butter Smooth","[""Gluten Free Coeliac/Celiac"",""Wheat Free"",""Soy Free"",""Egg Free"",""Sesame Free"",""Dairy Free""]","[""roasted peanuts""]"
"7059","Plenty Peanut Butter Crunchy","[""Egg Free"",""Gluten Free Coeliac/Celiac"",""Sesame Free"",""Dairy Free"",""Wheat Free"",""Soy Free""]","[""roasted peanuts""]"
"7333","Melrose Nut Butter Spread Coconut Cashew","[""Wheat Free"",""Sesame Free"",""Dairy Free"",""Gluten Free Coeliac/Celiac"",""Egg Free"",""Soy Free"",""Peanut Free""]","[""cashew nut"",""himalayan pink salt"",""organic creamed coconut""]"
"7398","Lotus Oats Steel Cut","[""Sesame Free"",""Egg Free"",""Peanut Free"",""Wheat Free"",""Soy Free"",""Dairy Free"",""Tree-nut Free""]","[""dehusked oat grain""]"
"7410","Loving Earth Hazelnut Chocolate Butter","[""Sesame Free"",""Egg Free"",""Dairy Free"",""Wheat Free"",""Peanut Free"",""Soy Free"",""Gluten Free Coeliac/Celiac""]","[""raw cacao nibs"",""almond"",""evaporated coconut nectar"",""cashew"",""raw cold pressed coconut oil"",""raw hazelnut""]"
"7411","Loving Earth Buckinis Nut & Seed Cereal","[""Egg Free"",""Soy Free"",""Peanut Free"",""Sesame Free"",""Dairy Free""]","[""activated buckwheat"",""nuts activated cashews"",""activated flax seeds"",""activated sunflower seeds"",""activated pumpkin seeds"",""activated chia seeds"",""activated brazil nuts"",""coconut chips""]"
"7412","Loving Earth Buckinis Deluxe Clusters","[""Egg Free"",""Sesame Free"",""Soy Free"",""Peanut Free"",""Dairy Free""]","[""cinnamon"",""goji berries"",""coconut nectar"",""mesquite powder"",""activated caramelised buckinis activated buckwheat"",""currants"",""raw cacao nibs"",""activated cashews"",""apple juice"",""caramelised coconut chips coconut"",""maca powder"",""cranberries cranberries"",""sunflower oil l"",""agave syrup"",""pink lake salt"",""activated pumpkin seeds""]"
"7413","Loving Earth Buckinis Chocolate Clusters","[""Peanut Free"",""Egg Free"",""Sesame Free"",""Dairy Free"",""Soy Free""]","[""coconut chips"",""apple juice sunflower oil l"",""cranberries cranberries"",""activated buckwheat"",""cacao powder"",""raw cacao nibs"",""evaporated coconut nectar"",""currants""]"
"7414","Loving Earth Buckinis Caramelised Clusters","[""Peanut Free"",""Sesame Free"",""Tree-nut Free"",""Egg Free"",""Soy Free"",""Dairy Free""]","[""raw mesquite powder"",""activated buckwheat"",""raw maca powder"",""pink lake salt"",""raw agave syrup"",""cinnamon""]"
"7415","Loving Earth Buckinis Berry & Cacao Cereal","[""Sesame Free"",""Dairy Free"",""Soy Free"",""Egg Free"",""Peanut Free""]","[""apple juice"",""sunflower oil l"",""raw cacao nibs"",""activated pumpkin seeds"",""activated flax seeds"",""goji berries"",""currants"",""activated sunflower seeds"",""caramelised coconut chips coconut"",""coconut nectar"",""activated chia seeds"",""activated buckwheat"",""cranberries cranberries""]"
"7459","Paleo Hero Vegan Muesli","[""Egg Free"",""Gluten Free Coeliac/Celiac"",""Dairy Free"",""Wheat Free"",""Soy Free"",""Peanut Free""]","[""cashew nut"",""pepita"",""sesame seed"",""sunflower seed"",""coconut flake"",""slivered almonds"",""macadamia nuts"",""shredded coconut"",""dried cranberries"",""cinnamon"",""coconut flour"",""coconut sugar"",""coconut oil""]"
"7461","Paleo Hero Primal Muesli","[""Wheat Free"",""Peanut Free"",""Gluten Free Coeliac/Celiac"",""Egg Free"",""Dairy Free"",""Soy Free""]","[""pepita"",""sesame seed"",""coconut flake"",""sunflower seed"",""cashew nut"",""honey"",""cinnamon"",""coconut flour"",""slivered almonds"",""macadamia nuts"",""coconut oil"",""shredded coconut"",""dried cranberries""]"
"7488","Food to Nourish Sprouted Luscious Lemon Spread","[""Wheat Free"",""Peanut Free"",""Egg Free"",""Soy Free"",""Sesame Free"",""Gluten Free Coeliac/Celiac"",""Dairy Free""]","[""organic raw honey and organic lemon oil"",""organic maple syrup"",""organic coconut oil"",""organic coconut palm sugar"",""organic sprouted cashew nuts""]"
"7489","Food to Nourish Sprouted Hemp Seed Spread","[""Gluten Free Coeliac/Celiac"",""Sesame Free"",""Wheat Free"",""Dairy Free"",""Egg Free"",""Soy Free"",""Peanut Free""]","[""organic sprouted sunflower seeds"",""organic coconut oil and sea salt"",""organic hemp seeds"",""organic sprouted pepitas""]"
"7490","Food to Nourish Paleo's Breakfast Adventure","[""Dairy Free"",""Soy Free"",""Wheat Free"",""Gluten Free Coeliac/Celiac"",""Sesame Free"",""Peanut Free"",""Egg Free""]","[""organic sprouted cashew nuts"",""organic shredded coconut"",""organic cinnamon powder and vanilla bean powder"",""organic sprouted brazilnuts"",""organic pepitas"",""organic goji berries"",""organic chia seeds"",""organic sprouted almonds""]"
"7493","Food to Nourish Clusters Rose, Pistachio & Ora","[""Dairy Free"",""Egg Free"",""Soy Free"",""Sesame Free"",""Peanut Free""]","[""organic dried rose petals"",""organic pepitas"",""organic puffed brown rice"",""organic sprouted pistachio nuts"",""organic puffed quinoa"",""organic turmeric powder"",""organic sprouted cashew nuts"",""organic dried barberries"",""organic sprouted buckwheat"",""organic coconut flakes"",""organic maple syrup""]"
"7494","Food to Nourish Clusters Hibiscus, Lemon & Blueberry","[""Egg Free"",""Soy Free"",""Peanut Free"",""Dairy Free"",""Sesame Free""]","[""organic maple syrup"",""organic beetroot powder"",""organic sprouted cashew nuts"",""organic pepitas"",""organic coconut flakes"",""apple juice concentrate"",""organic puffed quinoa"",""sunflower oil"",""hibiscus flowers and organic cold pressed lemon oil"",""organic dried blueberries blueberries"",""organic puffed brown rice"",""organic sprouted buckwheat""]"
"7495","Food to Nourish Clusters Cacao Wattleseed","[""Peanut Free"",""Dairy Free"",""Sesame Free"",""Soy Free"",""Egg Free""]","[""organic raw cacao powder"",""organic coconut flakes"",""organic sprouted hazelnuts"",""organic sprouted cashew nuts"",""vanilla bean powder and wattleseed powder"",""organic sprouted buckwheat"",""organic pepitas"",""organic puffed quinoa"",""organic puffed brown rice"",""organic maple syrup"",""organic raw cacao nibs""]"
"7498","Food to Nourish Almond Gingernut Spread","[""Soy Free"",""Wheat Free"",""Egg Free"",""Peanut Free"",""Sesame Free"",""Dairy Free"",""Gluten Free Coeliac/Celiac""]","[""almond"",""cashew nut"",""organic coconut palm sugar"",""nutmeg"",""organic coconut oil"",""organic ginger powder"",""organic cinnamon and sea salt"",""organic hazelnuts""]"
"7501","Eclipse Wholefoods Slow Roasted Muesli Honey Nut Crunch","[""Wheat Free"",""Egg Free"",""Peanut Free"",""Soy Free"",""Dairy Free"",""Sesame Free""]","[""chia seed"",""cashew"",""sunflower seed"",""pumpkin seed"",""corn flakes"",""rice crisps"",""nuts almonds"",""honey"",""cinnamon"",""rice flour"",""rolled oats"",""rice syrup"",""apple""]"
"7503","Eclipse Wholefoods Slow Roasted Muesli Australian Honey and Coconut","[""Dairy Free"",""Soy Free"",""Egg Free"",""Wheat Free"",""Sesame Free"",""Peanut Free""]","[""chia seed"",""sunflower seed"",""cashew"",""honey"",""coconut"",""seeds pumpkin seeds"",""nuts almonds"",""rice flour"",""rolled oats""]"
"7504","Eclipse Wholefoods Roasted Digestive Clusters Salted Caramel & Ginger Nut","[""Dairy Free"",""Peanut Free"",""Sesame Free"",""Soy Free"",""Egg Free""]","[""cashew"",""sunflower seed"",""turmeric"",""seeds pumpkin seeds"",""fermented tapioca syrup"",""green banana starch"",""linseed"",""sunflower seed oil"",""corn flakes"",""ginger"",""coconut syrup"",""himalayan salt"",""rolled oats""]"
"7505","Eclipse Wholefoods Modern No-Nut Granola Vanilla Maple Clusters","[""Peanut Free"",""Tree-nut Free"",""Egg Free"",""Sesame Free"",""Dairy Free"",""Soy Free""]","[""oat"",""sunflower seed"",""chia seed"",""maple syrup"",""linseedflaxseed"",""vanilla bean paste"",""sunflower oil"",""oat bran"",""seedspumpkin seeds"",""fermented tapioca malt"",""rolledflaked"",""fruitapple"",""cranberries dried with apple juice""]"
"7507","Eclipse Organics Corn Flakes Traditional Wholegrain","[""Gluten Free Coeliac/Celiac"",""Tree-nut Free"",""Soy Free"",""Sesame Free"",""Dairy Free"",""Wheat Free"",""Peanut Free"",""Egg Free""]","[""organic raw sugar"",""organic corn"",""salt l""]"
"7526","Blue Frog Raspberry Vanilla Probiotic Granola","[""Egg Free"",""Wheat Free"",""Soy Free"",""Peanut Free"",""Dairy Free"",""Sesame Free""]","[""almond"",""nuts  organic coconut chips"",""rice pops"",""coconut oil"",""nz oats"",""sunflower oil"",""cashew"",""seeds  pumpkin"",""chia"",""sunflower"",""freeze dried raspberry"",""date syrup"",""apple juice"",""cornflakes"",""prebiotic fibre chicory root"",""cranberries cranberries""]"
"7527","Blue Frog Probiotic Porridge Vanilla Bean and Chia Seed","[""Peanut Free"",""Soy Free"",""Wheat Free"",""Dairy Free"",""Sesame Free"",""Egg Free""]","[""heilala vanilla bean"",""organic coconut sugar"",""green banana flour"",""inulin from chicory root"",""baby rolled oats"",""organic chia seeds""]"
"7529","Blue Frog Nuts & Seeds - Macadamia Almond & Manuka Honey","[""Sesame Free"",""Wheat Free"",""Peanut Free"",""Soy Free"",""Dairy Free"",""Egg Free""]","[""almond"",""manuka honey"",""seeds  pumpkin"",""sunflower"",""nz oats"",""chia"",""cashew"",""honey bush honey"",""nuts  organic coconut threads""]"
"7530","Blue Frog Nuts & Seeds - Cashew Almond & Maple","[""Soy Free"",""Egg Free"",""Sesame Free"",""Peanut Free"",""Dairy Free""]","[""rice bran oil"",""vanilla extract"",""honey"",""sesame"",""seeds  sunflower"",""cinnamon"",""coconut"",""pumpkin"",""natural antioxidant rosemary extract"",""sea salt"",""nuts  almonds"",""organic maple"",""cashew"",""fibre rich tapioca syrup""]"
"7532","Blue Frog Manuka Honey Probiotic Granola","[""Peanut Free"",""Wheat Free"",""Sesame Free"",""Soy Free"",""Egg Free"",""Dairy Free""]","[""almond"",""date syrup"",""prebiotic fibre chicory root"",""nz oats"",""manuka honey"",""heilala vanilla bean"",""popped quinoa"",""cornflakes"",""seeds  pumpkin"",""honey bush honey"",""coconut oil"",""nuts  organic coconut threads"",""rice pops"",""antioxidant rosemary extract"",""cashew"",""sunflower"",""probiotic culture  bacillus coagulens"",""chia""]"
"7583","Cobs Popcorn Multipack Sea Salt (10x5x13g)","[""Soy Free"",""Tree-nut Free"",""Wheat Free"",""Dairy Free"",""Peanut Free"",""Gluten Free Coeliac/Celiac"",""Egg Free"",""Sesame Free""]","[""sea salt"",""popcorn"",""sunflower oil  high oleic""]"
"7751","Organic Granola - Turmeric Coconut Latte","[""Peanut Free"",""Egg Free"",""Dairy Free"",""Soy Free""]","[""sunflower seed"",""oat"",""spice"",""sesame seed"",""turmeric"",""sunflower oil"",""fermented tapioca syrup"",""seedspumpkin seeds"",""green banana starch"",""currants"",""coconut"",""linseedflaxseed"",""rolledflaked"",""rapadura""]"
"7753","Macadamia Clusters Keto Granola","[""Gluten Free Coeliac/Celiac"",""Soy Free"",""Wheat Free"",""Sesame Free"",""Dairy Free"",""Peanut Free"",""Egg Free""]","[""pepita"",""linseed"",""sunflower seed"",""cinnamon"",""tapioca"",""chopped almonds"",""macadamia nuts"",""almond meal"",""himalayan salt"",""coconut oil"",""shredded coconut""]"
"7754","Macadamia Clusters Keto Granola","[""Dairy Free"",""Soy Free"",""Sesame Free"",""Peanut Free"",""Egg Free"",""Wheat Free"",""Gluten Free Coeliac/Celiac""]","[""pepita"",""sunflower seed"",""linseed"",""cinnamon"",""coconut oil"",""macadamia nuts"",""tapioca"",""himalayan salt"",""shredded coconut"",""chopped almonds"",""almond meal""]"
"7755","Keto Gourmet Granola - Peanut Butter","[""Wheat Free"",""Gluten Free Coeliac/Celiac"",""Egg Free"",""Soy Free""]","[""linseed"",""pepita"",""sesame seed"",""sunflower seed"",""shredded coconut"",""peanut butter"",""coconut chips"",""himalayan saltorganic spray free"",""birch xylitol gmo free"",""chopped almonds""]"
"7759","Granola - Rosella Cinnamon","[""Peanut Free"",""Wheat Free"",""Dairy Free"",""Sesame Free"",""Egg Free"",""Soy Free""]","[""cashew nut"",""rosella"",""lontar syrup"",""coconut oil"",""fermented cassava"",""arenga fruit"",""cinnamon"",""rolled oats"",""lime juice"",""red rice"",""cane sugar"",""coconut milk"",""sea salt""]"
"7760","Granola - Coconut Banana","[""Sesame Free"",""Wheat Free"",""Egg Free"",""Peanut Free"",""Soy Free"",""Dairy Free""]","[""cashew nut"",""coconut"",""red rice"",""vanilla flavouring"",""cassava syrup"",""sea salt"",""banana"",""cane sugar"",""aranga fruit"",""coconut oil"",""coconut milk"",""lontar syrup"",""lime juice"",""rosella"",""rolled oats""]"
